,name,value,year,lastValue,rank,Div
1981,Man City,308,2020.1,305,1,E0
1982,Liverpool,298,2020.1,292,2,E0
1983,Arsenal,288,2020.1,279,3,E0
1984,Chelsea,275,2020.1,269,4,E0
1985,Tottenham,265,2020.1,265,5,E0
1986,Man United,261,2020.1,255,6,E0
1987,Everton,229,2020.1,225,7,E0
1988,West Ham,187,2020.1,184,8,E0
1989,Leicester,186,2020.1,183,9,E0
1990,Southampton,183,2020.1,180,10,E0
1991,Crystal Palace,157,2020.1,151,11,E0
1992,Newcastle,155,2020.1,154,12,E0
1993,Stoke,144,2020.1,143,13,E0
1994,Swansea,133,2020.1,133,14,E0
1995,Burnley,124,2020.1,120,15,E0
1996,Watford,123,2020.1,120,16,E0
1997,Bournemouth,123,2020.1,122,16,E0
1998,West Brom,116,2020.1,112,17,E0
1999,Sunderland,76,2020.1,76,18,E0
2000,Hull,73,2020.1,70,19,E0
2001,Brighton,70,2020.1,69,20,E0
2002,Aston Villa,70,2020.1,70,20,E0
2003,Norwich,62,2020.1,59,21,E0
2004,Wolves,56,2020.1,51,22,E0
2005,Cardiff,40,2020.1,40,23,E0
2006,Fulham,39,2020.1,36,24,E0
2007,Huddersfield,32,2020.1,31,25,E0
2008,Sheffield United,24,2020.1,17,26,E0
2009,QPR,23,2020.1,19,27,E0
2010,Middlesbrough,18,2020.1,14,28,E0
2011,Man City,305,2020.0,301,1,E0
2012,Liverpool,292,2020.0,283,2,E0
2013,Arsenal,279,2020.0,275,3,E0
2014,Chelsea,269,2020.0,265,4,E0
2015,Tottenham,265,2020.0,259,5,E0
2016,Man United,255,2020.0,251,6,E0
2017,Everton,225,2020.0,221,7,E0
2018,West Ham,184,2020.0,179,8,E0
2019,Leicester,183,2020.0,179,9,E0
2020,Southampton,180,2020.0,177,10,E0
2021,Newcastle,154,2020.0,150,11,E0
2022,Crystal Palace,151,2020.0,150,12,E0
2023,Stoke,144,2020.0,143,13,E0
2024,Swansea,133,2020.0,133,14,E0
2025,Bournemouth,122,2020.0,116,15,E0
2026,Burnley,120,2020.0,116,16,E0
2027,Watford,120,2020.0,116,16,E0
2028,West Brom,116,2020.0,112,17,E0
2029,Sunderland,76,2020.0,76,18,E0
2030,Hull,73,2020.0,70,19,E0
2031,Aston Villa,70,2020.0,67,20,E0
2032,Brighton,69,2020.0,67,21,E0
2033,Norwich,59,2020.0,55,22,E0
2034,Wolves,51,2020.0,50,23,E0
2035,Cardiff,40,2020.0,40,24,E0
2036,Fulham,39,2020.0,36,25,E0
2037,Huddersfield,32,2020.0,31,26,E0
2038,QPR,23,2020.0,19,27,E0
2039,Middlesbrough,18,2020.0,14,28,E0
2040,Sheffield United,17,2020.0,14,29,E0
2041,Man City,301,2019.9,295,1,E0
2042,Liverpool,283,2019.9,271,2,E0
2043,Arsenal,275,2019.9,275,3,E0
2044,Chelsea,265,2019.9,262,4,E0
2045,Tottenham,259,2019.9,250,5,E0
2046,Man United,251,2019.9,243,6,E0
2047,Everton,221,2019.9,214,7,E0
2048,West Ham,179,2019.9,179,8,E0
2049,Leicester,179,2019.9,172,8,E0
2050,Southampton,177,2019.9,170,9,E0
2051,Newcastle,150,2019.9,143,10,E0
2052,Crystal Palace,150,2019.9,143,10,E0
2053,Stoke,144,2019.9,143,11,E0
2054,Swansea,133,2019.9,133,12,E0
2055,Watford,116,2019.9,109,13,E0
2056,Burnley,116,2019.9,113,13,E0
2057,Bournemouth,116,2019.9,115,13,E0
2058,West Brom,116,2019.9,112,13,E0
2059,Sunderland,76,2019.9,76,14,E0
2060,Hull,73,2019.9,70,15,E0
2061,Brighton,67,2019.9,63,16,E0
2062,Aston Villa,67,2019.9,64,16,E0
2063,Norwich,55,2019.9,53,17,E0
2064,Wolves,50,2019.9,43,18,E0
2065,Cardiff,40,2019.9,40,19,E0
2066,Fulham,39,2019.9,36,20,E0
2067,Huddersfield,32,2019.9,31,21,E0
2068,QPR,23,2019.9,19,22,E0
2069,Middlesbrough,18,2019.9,14,23,E0
2070,Sheffield United,14,2019.9,10,24,E0
2071,Man City,295,2019.8,286,1,E0
2072,Arsenal,275,2019.8,272,2,E0
2073,Liverpool,271,2019.8,265,3,E0
2074,Chelsea,262,2019.8,259,4,E0
2075,Tottenham,250,2019.8,249,5,E0
2076,Man United,243,2019.8,239,6,E0
2077,Everton,214,2019.8,213,7,E0
2078,West Ham,179,2019.8,178,8,E0
2079,Leicester,172,2019.8,169,9,E0
2080,Southampton,170,2019.8,170,10,E0
2081,Stoke,144,2019.8,143,11,E0
2082,Crystal Palace,143,2019.8,143,12,E0
2083,Newcastle,143,2019.8,139,12,E0
2084,Swansea,133,2019.8,133,13,E0
2085,West Brom,116,2019.8,112,14,E0
2086,Bournemouth,115,2019.8,112,15,E0
2087,Burnley,113,2019.8,110,16,E0
2088,Watford,109,2019.8,108,17,E0
2089,Sunderland,76,2019.8,76,18,E0
2090,Hull,73,2019.8,70,19,E0
2091,Aston Villa,64,2019.8,61,20,E0
2092,Brighton,63,2019.8,57,21,E0
2093,Norwich,53,2019.8,53,22,E0
2094,Wolves,43,2019.8,40,23,E0
2095,Cardiff,40,2019.8,40,24,E0
2096,Fulham,39,2019.8,36,25,E0
2097,Huddersfield,32,2019.8,31,26,E0
2098,QPR,23,2019.8,19,27,E0
2099,Middlesbrough,18,2019.8,14,28,E0
2100,Sheffield United,10,2019.8,3,29,E0
2101,Man City,286,2019.7,283,1,E0
2102,Arsenal,272,2019.7,266,2,E0
2103,Liverpool,265,2019.7,259,3,E0
2104,Chelsea,259,2019.7,253,4,E0
2105,Tottenham,249,2019.7,242,5,E0
2106,Man United,239,2019.7,235,6,E0
2107,Everton,213,2019.7,210,7,E0
2108,West Ham,178,2019.7,175,8,E0
2109,Southampton,170,2019.7,170,9,E0
2110,Leicester,169,2019.7,160,10,E0
2111,Stoke,144,2019.7,143,11,E0
2112,Crystal Palace,143,2019.7,139,12,E0
2113,Newcastle,139,2019.7,135,13,E0
2114,Swansea,133,2019.7,133,14,E0
2115,West Brom,116,2019.7,112,15,E0
2116,Bournemouth,112,2019.7,107,16,E0
2117,Burnley,110,2019.7,104,17,E0
2118,Watford,108,2019.7,106,18,E0
2119,Sunderland,76,2019.7,76,19,E0
2120,Hull,73,2019.7,70,20,E0
2121,Aston Villa,61,2019.7,56,21,E0
2122,Brighton,57,2019.7,53,22,E0
2123,Norwich,53,2019.7,50,23,E0
2124,Wolves,40,2019.7,36,24,E0
2125,Cardiff,40,2019.7,40,24,E0
2126,Fulham,39,2019.7,36,25,E0
2127,Huddersfield,32,2019.7,31,26,E0
2128,QPR,23,2019.7,19,27,E0
2129,Middlesbrough,18,2019.7,14,28,E0
2130,Sheffield United,3,2019.7,3,29,E0
2131,Man City,283,2019.6,279,1,E0
2132,Arsenal,266,2019.6,262,2,E0
2133,Liverpool,259,2019.6,253,3,E0
2134,Chelsea,253,2019.6,251,4,E0
2135,Tottenham,242,2019.6,239,5,E0
2136,Man United,235,2019.6,232,6,E0
2137,Everton,210,2019.6,204,7,E0
2138,West Ham,175,2019.6,172,8,E0
2139,Southampton,170,2019.6,169,9,E0
2140,Leicester,160,2019.6,156,10,E0
2141,Stoke,144,2019.6,143,11,E0
2142,Crystal Palace,139,2019.6,135,12,E0
2143,Newcastle,135,2019.6,134,13,E0
2144,Swansea,133,2019.6,133,14,E0
2145,West Brom,116,2019.6,112,15,E0
2146,Bournemouth,107,2019.6,106,16,E0
2147,Watford,106,2019.6,106,17,E0
2148,Burnley,104,2019.6,101,18,E0
2149,Sunderland,76,2019.6,76,19,E0
2150,Hull,73,2019.6,70,20,E0
2151,Aston Villa,56,2019.6,53,21,E0
2152,Brighton,53,2019.6,52,22,E0
2153,Norwich,50,2019.6,47,23,E0
2154,Cardiff,40,2019.6,40,24,E0
2155,Fulham,39,2019.6,36,25,E0
2156,Wolves,36,2019.6,34,26,E0
2157,Huddersfield,32,2019.6,31,27,E0
2158,QPR,23,2019.6,19,28,E0
2159,Middlesbrough,18,2019.6,14,29,E0
2160,Sheffield United,3,2019.6,0,30,E0
2161,Man City,279,2019.5,276,1,E0
2162,Arsenal,262,2019.5,261,2,E0
2163,Liverpool,253,2019.5,247,3,E0
2164,Chelsea,251,2019.5,247,4,E0
2165,Tottenham,239,2019.5,235,5,E0
2166,Man United,232,2019.5,231,6,E0
2167,Everton,204,2019.5,198,7,E0
2168,West Ham,172,2019.5,169,8,E0
2169,Southampton,169,2019.5,167,9,E0
2170,Leicester,156,2019.5,152,10,E0
2171,Stoke,144,2019.5,143,11,E0
2172,Crystal Palace,135,2019.5,131,12,E0
2173,Newcastle,134,2019.5,134,13,E0
2174,Swansea,133,2019.5,133,14,E0
2175,West Brom,116,2019.5,112,15,E0
2176,Bournemouth,106,2019.5,103,16,E0
2177,Watford,106,2019.5,105,16,E0
2178,Burnley,101,2019.5,101,17,E0
2179,Sunderland,76,2019.5,76,18,E0
2180,Hull,73,2019.5,70,19,E0
2181,Aston Villa,53,2019.5,52,20,E0
2182,Brighton,52,2019.5,51,21,E0
2183,Norwich,47,2019.5,44,22,E0
2184,Cardiff,40,2019.5,40,23,E0
2185,Fulham,39,2019.5,36,24,E0
2186,Wolves,34,2019.5,28,25,E0
2187,Huddersfield,32,2019.5,31,26,E0
2188,QPR,23,2019.5,19,27,E0
2189,Middlesbrough,18,2019.5,14,28,E0
2190,Sheffield United,0,2019.5,0,29,E0
2191,Man City,279,2019.4,276,1,E0
2192,Arsenal,262,2019.4,261,2,E0
2193,Liverpool,253,2019.4,247,3,E0
2194,Chelsea,251,2019.4,247,4,E0
2195,Tottenham,239,2019.4,235,5,E0
2196,Man United,232,2019.4,231,6,E0
2197,Everton,204,2019.4,198,7,E0
2198,West Ham,172,2019.4,169,8,E0
2199,Southampton,169,2019.4,167,9,E0
2200,Leicester,156,2019.4,152,10,E0
2201,Stoke,144,2019.4,143,11,E0
2202,Crystal Palace,135,2019.4,131,12,E0
2203,Newcastle,134,2019.4,134,13,E0
2204,Swansea,133,2019.4,133,14,E0
2205,West Brom,116,2019.4,112,15,E0
2206,Watford,106,2019.4,105,16,E0
2207,Bournemouth,106,2019.4,103,16,E0
2208,Burnley,101,2019.4,101,17,E0
2209,Sunderland,76,2019.4,76,18,E0
2210,Hull,73,2019.4,70,19,E0
2211,Aston Villa,53,2019.4,52,20,E0
2212,Brighton,52,2019.4,51,21,E0
2213,Norwich,47,2019.4,44,22,E0
2214,Cardiff,40,2019.4,40,23,E0
2215,Fulham,39,2019.4,36,24,E0
2216,Wolves,34,2019.4,28,25,E0
2217,Huddersfield,32,2019.4,31,26,E0
2218,QPR,23,2019.4,19,27,E0
2219,Middlesbrough,18,2019.4,14,28,E0
2220,Sheffield United,0,2019.4,0,29,E0
2221,Man City,279,2019.3,276,1,E0
2222,Arsenal,262,2019.3,261,2,E0
2223,Liverpool,253,2019.3,247,3,E0
2224,Chelsea,251,2019.3,247,4,E0
2225,Tottenham,239,2019.3,235,5,E0
2226,Man United,232,2019.3,231,6,E0
2227,Everton,204,2019.3,198,7,E0
2228,West Ham,172,2019.3,169,8,E0
2229,Southampton,169,2019.3,167,9,E0
2230,Leicester,156,2019.3,152,10,E0
2231,Stoke,144,2019.3,143,11,E0
2232,Crystal Palace,135,2019.3,131,12,E0
2233,Newcastle,134,2019.3,134,13,E0
2234,Swansea,133,2019.3,133,14,E0
2235,West Brom,116,2019.3,112,15,E0
2236,Bournemouth,106,2019.3,103,16,E0
2237,Watford,106,2019.3,105,16,E0
2238,Burnley,101,2019.3,101,17,E0
2239,Sunderland,76,2019.3,76,18,E0
2240,Hull,73,2019.3,70,19,E0
2241,Aston Villa,53,2019.3,52,20,E0
2242,Brighton,52,2019.3,51,21,E0
2243,Norwich,47,2019.3,44,22,E0
2244,Cardiff,40,2019.3,40,23,E0
2245,Fulham,39,2019.3,36,24,E0
2246,Wolves,34,2019.3,28,25,E0
2247,Huddersfield,32,2019.3,31,26,E0
2248,QPR,23,2019.3,19,27,E0
2249,Middlesbrough,18,2019.3,14,28,E0
2250,Sheffield United,0,2019.3,0,29,E0
2251,Man City,276,2019.2,270,1,E0
2252,Arsenal,261,2019.2,258,2,E0
2253,Liverpool,247,2019.2,241,3,E0
2254,Chelsea,247,2019.2,241,3,E0
2255,Tottenham,235,2019.2,229,4,E0
2256,Man United,231,2019.2,225,5,E0
2257,Everton,198,2019.2,192,6,E0
2258,West Ham,169,2019.2,165,7,E0
2259,Southampton,167,2019.2,164,8,E0
2260,Leicester,152,2019.2,149,9,E0
2261,Stoke,144,2019.2,143,10,E0
2262,Newcastle,134,2019.2,131,11,E0
2263,Swansea,133,2019.2,133,12,E0
2264,Crystal Palace,131,2019.2,128,13,E0
2265,West Brom,116,2019.2,112,14,E0
2266,Watford,105,2019.2,102,15,E0
2267,Bournemouth,103,2019.2,102,16,E0
2268,Burnley,101,2019.2,95,17,E0
2269,Sunderland,76,2019.2,76,18,E0
2270,Hull,73,2019.2,70,19,E0
2271,Aston Villa,53,2019.2,52,20,E0
2272,Brighton,51,2019.2,51,21,E0
2273,Norwich,47,2019.2,44,22,E0
2274,Cardiff,40,2019.2,40,23,E0
2275,Fulham,36,2019.2,33,24,E0
2276,Huddersfield,31,2019.2,31,25,E0
2277,Wolves,28,2019.2,24,26,E0
2278,QPR,23,2019.2,19,27,E0
2279,Middlesbrough,18,2019.2,14,28,E0
2280,Sheffield United,0,2019.2,0,29,E0
2281,Man City,270,2019.1,261,1,E0
2282,Arsenal,258,2019.1,249,2,E0
2283,Chelsea,241,2019.1,237,3,E0
2284,Liverpool,241,2019.1,232,3,E0
2285,Tottenham,229,2019.1,225,4,E0
2286,Man United,225,2019.1,221,5,E0
2287,Everton,192,2019.1,191,6,E0
2288,West Ham,165,2019.1,159,7,E0
2289,Southampton,164,2019.1,158,8,E0
2290,Leicester,149,2019.1,143,9,E0
2291,Stoke,144,2019.1,143,10,E0
2292,Swansea,133,2019.1,133,11,E0
2293,Newcastle,131,2019.1,122,12,E0
2294,Crystal Palace,128,2019.1,127,13,E0
2295,West Brom,116,2019.1,112,14,E0
2296,Bournemouth,102,2019.1,101,15,E0
2297,Watford,102,2019.1,96,15,E0
2298,Burnley,95,2019.1,92,16,E0
2299,Sunderland,76,2019.1,76,17,E0
2300,Hull,73,2019.1,70,18,E0
2301,Aston Villa,53,2019.1,52,19,E0
2302,Brighton,51,2019.1,48,20,E0
2303,Norwich,47,2019.1,44,21,E0
2304,Cardiff,40,2019.1,37,22,E0
2305,Fulham,33,2019.1,33,23,E0
2306,Huddersfield,31,2019.1,28,24,E0
2307,Wolves,24,2019.1,20,25,E0
2308,QPR,23,2019.1,19,26,E0
2309,Middlesbrough,18,2019.1,14,27,E0
2310,Sheffield United,0,2019.1,0,28,E0
2311,Man City,261,2019.0,252,1,E0
2312,Arsenal,249,2019.0,240,2,E0
2313,Chelsea,237,2019.0,230,3,E0
2314,Liverpool,232,2019.0,228,4,E0
2315,Tottenham,225,2019.0,219,5,E0
2316,Man United,221,2019.0,217,6,E0
2317,Everton,191,2019.0,188,7,E0
2318,West Ham,159,2019.0,154,8,E0
2319,Southampton,158,2019.0,154,9,E0
2320,Stoke,144,2019.0,143,10,E0
2321,Leicester,143,2019.0,143,11,E0
2322,Swansea,133,2019.0,133,12,E0
2323,Crystal Palace,127,2019.0,124,13,E0
2324,Newcastle,122,2019.0,116,14,E0
2325,West Brom,116,2019.0,112,15,E0
2326,Bournemouth,101,2019.0,94,16,E0
2327,Watford,96,2019.0,95,17,E0
2328,Burnley,92,2019.0,88,18,E0
2329,Sunderland,76,2019.0,76,19,E0
2330,Hull,73,2019.0,70,20,E0
2331,Aston Villa,53,2019.0,52,21,E0
2332,Brighton,48,2019.0,47,22,E0
2333,Norwich,47,2019.0,44,23,E0
2334,Cardiff,37,2019.0,33,24,E0
2335,Fulham,33,2019.0,30,25,E0
2336,Huddersfield,28,2019.0,28,26,E0
2337,QPR,23,2019.0,19,27,E0
2338,Wolves,20,2019.0,14,28,E0
2339,Middlesbrough,18,2019.0,14,29,E0
2340,Sheffield United,0,2019.0,0,30,E0
2341,Man City,252,2018.9,246,1,E0
2342,Arsenal,240,2018.9,231,2,E0
2343,Chelsea,230,2018.9,224,3,E0
2344,Liverpool,228,2018.9,216,4,E0
2345,Tottenham,219,2018.9,210,5,E0
2346,Man United,217,2018.9,207,6,E0
2347,Everton,188,2018.9,186,7,E0
2348,West Ham,154,2018.9,148,8,E0
2349,Southampton,154,2018.9,150,8,E0
2350,Stoke,144,2018.9,143,9,E0
2351,Leicester,143,2018.9,137,10,E0
2352,Swansea,133,2018.9,133,11,E0
2353,Crystal Palace,124,2018.9,117,12,E0
2354,West Brom,116,2018.9,112,13,E0
2355,Newcastle,116,2018.9,115,13,E0
2356,Watford,95,2018.9,91,14,E0
2357,Bournemouth,94,2018.9,88,15,E0
2358,Burnley,88,2018.9,82,16,E0
2359,Sunderland,76,2018.9,76,17,E0
2360,Hull,73,2018.9,70,18,E0
2361,Aston Villa,53,2018.9,52,19,E0
2362,Norwich,47,2018.9,44,20,E0
2363,Brighton,47,2018.9,40,20,E0
2364,Cardiff,33,2018.9,27,21,E0
2365,Fulham,30,2018.9,25,22,E0
2366,Huddersfield,28,2018.9,28,23,E0
2367,QPR,23,2018.9,19,24,E0
2368,Middlesbrough,18,2018.9,14,25,E0
2369,Wolves,14,2018.9,8,26,E0
2370,Sheffield United,0,2018.9,0,27,E0
2371,Man City,246,2018.8,237,1,E0
2372,Arsenal,231,2018.8,226,2,E0
2373,Chelsea,224,2018.8,219,3,E0
2374,Liverpool,216,2018.8,210,4,E0
2375,Tottenham,210,2018.8,207,5,E0
2376,Man United,207,2018.8,203,6,E0
2377,Everton,186,2018.8,177,7,E0
2378,Southampton,150,2018.8,148,8,E0
2379,West Ham,148,2018.8,145,9,E0
2380,Stoke,144,2018.8,143,10,E0
2381,Leicester,137,2018.8,135,11,E0
2382,Swansea,133,2018.8,133,12,E0
2383,Crystal Palace,117,2018.8,116,13,E0
2384,West Brom,116,2018.8,112,14,E0
2385,Newcastle,115,2018.8,109,15,E0
2386,Watford,91,2018.8,88,16,E0
2387,Bournemouth,88,2018.8,87,17,E0
2388,Burnley,82,2018.8,82,18,E0
2389,Sunderland,76,2018.8,76,19,E0
2390,Hull,73,2018.8,70,20,E0
2391,Aston Villa,53,2018.8,52,21,E0
2392,Norwich,47,2018.8,44,22,E0
2393,Brighton,40,2018.8,36,23,E0
2394,Huddersfield,28,2018.8,24,24,E0
2395,Cardiff,27,2018.8,21,25,E0
2396,Fulham,25,2018.8,22,26,E0
2397,QPR,23,2018.8,19,27,E0
2398,Middlesbrough,18,2018.8,14,28,E0
2399,Wolves,8,2018.8,8,29,E0
2400,Sheffield United,0,2018.8,0,30,E0
2401,Man City,237,2018.7,231,1,E0
2402,Arsenal,226,2018.7,220,2,E0
2403,Chelsea,219,2018.7,215,3,E0
2404,Liverpool,210,2018.7,206,4,E0
2405,Tottenham,207,2018.7,204,5,E0
2406,Man United,203,2018.7,199,6,E0
2407,Everton,177,2018.7,174,7,E0
2408,Southampton,148,2018.7,147,8,E0
2409,West Ham,145,2018.7,141,9,E0
2410,Stoke,144,2018.7,143,10,E0
2411,Leicester,135,2018.7,132,11,E0
2412,Swansea,133,2018.7,133,12,E0
2413,Crystal Palace,116,2018.7,115,13,E0
2414,West Brom,116,2018.7,112,13,E0
2415,Newcastle,109,2018.7,109,14,E0
2416,Watford,88,2018.7,88,15,E0
2417,Bournemouth,87,2018.7,81,16,E0
2418,Burnley,82,2018.7,78,17,E0
2419,Sunderland,76,2018.7,76,18,E0
2420,Hull,73,2018.7,70,19,E0
2421,Aston Villa,53,2018.7,52,20,E0
2422,Norwich,47,2018.7,44,21,E0
2423,Brighton,36,2018.7,33,22,E0
2424,Huddersfield,24,2018.7,24,23,E0
2425,QPR,23,2018.7,19,24,E0
2426,Fulham,22,2018.7,21,25,E0
2427,Cardiff,21,2018.7,21,26,E0
2428,Middlesbrough,18,2018.7,14,27,E0
2429,Wolves,8,2018.7,2,28,E0
2430,Sheffield United,0,2018.7,0,29,E0
2431,Man City,231,2018.6,225,1,E0
2432,Arsenal,220,2018.6,217,2,E0
2433,Chelsea,215,2018.6,209,3,E0
2434,Liverpool,206,2018.6,200,4,E0
2435,Tottenham,204,2018.6,201,5,E0
2436,Man United,199,2018.6,196,6,E0
2437,Everton,174,2018.6,170,7,E0
2438,Southampton,147,2018.6,146,8,E0
2439,Stoke,144,2018.6,143,9,E0
2440,West Ham,141,2018.6,141,10,E0
2441,Swansea,133,2018.6,133,11,E0
2442,Leicester,132,2018.6,129,12,E0
2443,West Brom,116,2018.6,112,13,E0
2444,Crystal Palace,115,2018.6,115,14,E0
2445,Newcastle,109,2018.6,109,15,E0
2446,Watford,88,2018.6,79,16,E0
2447,Bournemouth,81,2018.6,77,17,E0
2448,Burnley,78,2018.6,78,18,E0
2449,Sunderland,76,2018.6,76,19,E0
2450,Hull,73,2018.6,70,20,E0
2451,Aston Villa,53,2018.6,52,21,E0
2452,Norwich,47,2018.6,44,22,E0
2453,Brighton,33,2018.6,29,23,E0
2454,Huddersfield,24,2018.6,23,24,E0
2455,QPR,23,2018.6,19,25,E0
2456,Fulham,21,2018.6,18,26,E0
2457,Cardiff,21,2018.6,20,26,E0
2458,Middlesbrough,18,2018.6,14,27,E0
2459,Wolves,2,2018.6,0,28,E0
2460,Sheffield United,0,2018.6,0,29,E0
2461,Man City,225,2018.5,218,1,E0
2462,Arsenal,217,2018.5,211,2,E0
2463,Chelsea,209,2018.5,205,3,E0
2464,Tottenham,201,2018.5,192,4,E0
2465,Liverpool,200,2018.5,196,5,E0
2466,Man United,196,2018.5,190,6,E0
2467,Everton,170,2018.5,166,7,E0
2468,Southampton,146,2018.5,143,8,E0
2469,Stoke,144,2018.5,143,9,E0
2470,West Ham,141,2018.5,137,10,E0
2471,Swansea,133,2018.5,133,11,E0
2472,Leicester,129,2018.5,126,12,E0
2473,West Brom,116,2018.5,112,13,E0
2474,Crystal Palace,115,2018.5,109,14,E0
2475,Newcastle,109,2018.5,106,15,E0
2476,Watford,79,2018.5,75,16,E0
2477,Burnley,78,2018.5,77,17,E0
2478,Bournemouth,77,2018.5,74,18,E0
2479,Sunderland,76,2018.5,76,19,E0
2480,Hull,73,2018.5,70,20,E0
2481,Aston Villa,53,2018.5,52,21,E0
2482,Norwich,47,2018.5,44,22,E0
2483,Brighton,29,2018.5,26,23,E0
2484,Huddersfield,23,2018.5,23,24,E0
2485,QPR,23,2018.5,19,24,E0
2486,Cardiff,20,2018.5,20,25,E0
2487,Middlesbrough,18,2018.5,14,26,E0
2488,Fulham,18,2018.5,16,26,E0
2489,Wolves,0,2018.5,0,27,E0
2490,Sheffield United,0,2018.5,0,27,E0
2491,Man City,225,2018.4,218,1,E0
2492,Arsenal,217,2018.4,211,2,E0
2493,Chelsea,209,2018.4,205,3,E0
2494,Tottenham,201,2018.4,192,4,E0
2495,Liverpool,200,2018.4,196,5,E0
2496,Man United,196,2018.4,190,6,E0
2497,Everton,170,2018.4,166,7,E0
2498,Southampton,146,2018.4,143,8,E0
2499,Stoke,144,2018.4,143,9,E0
2500,West Ham,141,2018.4,137,10,E0
2501,Swansea,133,2018.4,133,11,E0
2502,Leicester,129,2018.4,126,12,E0
2503,West Brom,116,2018.4,112,13,E0
2504,Crystal Palace,115,2018.4,109,14,E0
2505,Newcastle,109,2018.4,106,15,E0
2506,Watford,79,2018.4,75,16,E0
2507,Burnley,78,2018.4,77,17,E0
2508,Bournemouth,77,2018.4,74,18,E0
2509,Sunderland,76,2018.4,76,19,E0
2510,Hull,73,2018.4,70,20,E0
2511,Aston Villa,53,2018.4,52,21,E0
2512,Norwich,47,2018.4,44,22,E0
2513,Brighton,29,2018.4,26,23,E0
2514,Huddersfield,23,2018.4,23,24,E0
2515,QPR,23,2018.4,19,24,E0
2516,Cardiff,20,2018.4,20,25,E0
2517,Fulham,18,2018.4,16,26,E0
2518,Middlesbrough,18,2018.4,14,26,E0
2519,Wolves,0,2018.4,0,27,E0
2520,Sheffield United,0,2018.4,0,27,E0
2521,Man City,225,2018.3,218,1,E0
2522,Arsenal,217,2018.3,211,2,E0
2523,Chelsea,209,2018.3,205,3,E0
2524,Tottenham,201,2018.3,192,4,E0
2525,Liverpool,200,2018.3,196,5,E0
2526,Man United,196,2018.3,190,6,E0
2527,Everton,170,2018.3,166,7,E0
2528,Southampton,146,2018.3,143,8,E0
2529,Stoke,144,2018.3,143,9,E0
2530,West Ham,141,2018.3,137,10,E0
2531,Swansea,133,2018.3,133,11,E0
2532,Leicester,129,2018.3,126,12,E0
2533,West Brom,116,2018.3,112,13,E0
2534,Crystal Palace,115,2018.3,109,14,E0
2535,Newcastle,109,2018.3,106,15,E0
2536,Watford,79,2018.3,75,16,E0
2537,Burnley,78,2018.3,77,17,E0
2538,Bournemouth,77,2018.3,74,18,E0
2539,Sunderland,76,2018.3,76,19,E0
2540,Hull,73,2018.3,70,20,E0
2541,Aston Villa,53,2018.3,52,21,E0
2542,Norwich,47,2018.3,44,22,E0
2543,Brighton,29,2018.3,26,23,E0
2544,Huddersfield,23,2018.3,23,24,E0
2545,QPR,23,2018.3,19,24,E0
2546,Cardiff,20,2018.3,20,25,E0
2547,Middlesbrough,18,2018.3,14,26,E0
2548,Fulham,18,2018.3,16,26,E0
2549,Sheffield United,0,2018.3,0,27,E0
2550,Wolves,0,2018.3,0,27,E0
2551,Man City,218,2018.2,218,1,E0
2552,Arsenal,211,2018.2,205,2,E0
2553,Chelsea,205,2018.2,204,3,E0
2554,Liverpool,196,2018.2,190,4,E0
2555,Tottenham,192,2018.2,192,5,E0
2556,Man United,190,2018.2,187,6,E0
2557,Everton,166,2018.2,165,7,E0
2558,Stoke,143,2018.2,143,8,E0
2559,Southampton,143,2018.2,143,8,E0
2560,West Ham,137,2018.2,133,9,E0
2561,Swansea,133,2018.2,132,10,E0
2562,Leicester,126,2018.2,125,11,E0
2563,West Brom,112,2018.2,111,12,E0
2564,Crystal Palace,109,2018.2,106,13,E0
2565,Newcastle,106,2018.2,100,14,E0
2566,Burnley,77,2018.2,74,15,E0
2567,Sunderland,76,2018.2,76,16,E0
2568,Watford,75,2018.2,74,17,E0
2569,Bournemouth,74,2018.2,70,18,E0
2570,Hull,73,2018.2,70,19,E0
2571,Aston Villa,53,2018.2,52,20,E0
2572,Norwich,47,2018.2,44,21,E0
2573,Brighton,26,2018.2,24,22,E0
2574,Huddersfield,23,2018.2,20,23,E0
2575,QPR,23,2018.2,19,23,E0
2576,Cardiff,20,2018.2,20,24,E0
2577,Middlesbrough,18,2018.2,14,25,E0
2578,Fulham,18,2018.2,16,25,E0
2579,Wolves,0,2018.2,0,26,E0
2580,Sheffield United,0,2018.2,0,26,E0
2581,Man City,218,2018.1,212,1,E0
2582,Arsenal,205,2018.1,202,2,E0
2583,Chelsea,204,2018.1,198,3,E0
2584,Tottenham,192,2018.1,186,4,E0
2585,Liverpool,190,2018.1,184,5,E0
2586,Man United,187,2018.1,181,6,E0
2587,Everton,165,2018.1,159,7,E0
2588,Southampton,143,2018.1,142,8,E0
2589,Stoke,143,2018.1,142,8,E0
2590,West Ham,133,2018.1,130,9,E0
2591,Swansea,132,2018.1,126,10,E0
2592,Leicester,125,2018.1,123,11,E0
2593,West Brom,111,2018.1,111,12,E0
2594,Crystal Palace,106,2018.1,106,13,E0
2595,Newcastle,100,2018.1,94,14,E0
2596,Sunderland,76,2018.1,76,15,E0
2597,Burnley,74,2018.1,70,16,E0
2598,Watford,74,2018.1,68,16,E0
2599,Hull,73,2018.1,70,17,E0
2600,Bournemouth,70,2018.1,69,18,E0
2601,Aston Villa,53,2018.1,52,19,E0
